id,name,headquarter,street,house_number,place_id,phone,fax,director_id,homepage_id,net_id
476,Stedelijke Academie voor      Podiumkunsten (muziek,false,Nieuwstraat,62_A ,527,,,70,70,1
477,Stedelijke Academie voor      Podiumkunsten (muziek,false,Gaston De Schepperstraat,1,640,,,70,70,1
478,Stedelijke Academie voor      Podiumkunsten (muziek,false,Damkouterbaan,6,821,,,70,70,1
479,Stedelijke Academie voor      Podiumkunsten (muziek,false,Solleveld,35,1042,,,70,70,1
480,Gemeentelijke Academie voor   Muziek en Woord,false,Eikenstraat,     ,315,,,71,71,1
481,Gemeentelijke Academie voor   Muziek en Woord,true,Hospitaalstraat,27,315,38883670,,71,71,1
482,Gemeentelijke Academie voor   Muziek en Woord,false,Beenhouwerstraat,3,371,,,71,71,1
483,Gemeentelijke Academie voor   Muziek en Woord,false,Forum,9,1993,,,71,71,1
484,Gemeentelijke Academie voor   Muziek en Woord,false,Laarstraat,21,2028,,,71,71,1
485,Gemeentelijke Academie voor   Muziek en Woord,false,Kerkstraat,34,2111,,,71,71,1
486,GO! muziekacademie Schaarbeek,false,Edward Stuckensstraat,125,683,,,72,72,2
487,GO! muziekacademie Schaarbeek,false,Ganspoel,     ,1125,,,72,72,2
488,GO! muziekacademie Schaarbeek,false,Elzasstraat,19,1125,,,72,72,2
489,GO! muziekacademie Schaarbeek,false,Priesterdelle,16_18,1125,,,72,72,2
490,GO! muziekacademie Schaarbeek,false,E. Gilisstraat,7,1125,,,72,72,2
491,GO! muziekacademie Schaarbeek,true,Lambermontlaan,184,2181,22414139,22419643,72,72,2
492,Gemeentelijke Muziek- en Woordacademie,false,Schoolstraat,44,2193,,,73,73,1
493,Gemeentelijke Muziek- en Woordacademie,true,Bergenstraat,2,2733,33537541,33543567,73,73,1
494,Gemeentelijke Muziek- en Woordacademie,false,Achterstraat,20,2807,,,73,73,1
495,Stedelijke Academie voor      Muziek,false,Sint-Gillislaan,     ,528,,,74,74,1
496,Stedelijke Academie voor      Muziek,true,Kerkstraat,47,528,52218282,,74,74,1
497,Stedelijke Academie voor      Muziek,false,Dokter Haekstraat,33_A2,885,,,74,74,1
498,Stedelijke Academie voor      Muziek,false,Klinkaertstraat,28,2194,,,74,74,1
499,Academie Ekeren               Muziek-Woord,false,Antwerpsebaan,150,66,,,75,75,1
500,Academie Ekeren               Muziek-Woord,false,Schriek,358,604,,,75,75,1
501,Academie Ekeren               Muziek-Woord,false,Pastoor Goetschalckxstraat,57,604,,,75,75,1
502,Academie Ekeren               Muziek-Woord,true,Ferdinand Pauwelsstraat,102,604,35426210,35426211,75,75,1
503,Academie Ekeren               Muziek-Woord,false,Frans Harrewijnlaan,1,604,,,75,75,1
504,Academie Ekeren               Muziek-Woord,false,Kruisboogstraat,49,604,,,75,75,1
505,Kunstacademie Geraardsbergen,true,Grotestraat,20_A ,807,54434241,54434242,76,76,1
506,Stedelijk Conservatorium      Mechelen,false,Dorp,112,307,,,77,77,1
507,Stedelijk Conservatorium      Mechelen,false,Leibeekstraat,2,1083,,,77,77,1
508,Stedelijk Conservatorium      Mechelen,true,Melaan,3_5  ,1532,,,77,77,1
509,Stedelijk Conservatorium      Mechelen,false,Wilsonstraat,3,2256,,,77,77,1
510,MAAK - Open Academie voor     Kunsten,false,Pannenstraat,132,1238,,,78,78,1
511,MAAK - Open Academie voor     Kunsten,false,Stadhuisstraat,6,1238,,,78,78,1
512,MAAK - Open Academie voor     Kunsten,true,Van Steenestraat,9,1238,50630850,,78,78,1
513,MAAK - Open Academie voor     Kunsten,false,Maurice Lippensplein,     ,1238,,,78,78,1
514,Gemeentelijke academie voor   muziek,true,Mechelsestraat,63,1434,52300894,52311605,79,79,1
515,Gemeentelijke academie voor   muziek,false,Topmolen,77,1434,,,79,79,1
516,Gemeentelijke academie voor   muziek,false,Jozef Vermaesenplein,20,1481,,,79,79,1
517,GO! Academie voor Podium-     kunsten Overijse,false,Overijsesteenweg,16,1066,,,80,80,2
518,GO! Academie voor Podium-     kunsten Overijse,true,P.I. Taymansstraat,10,1900,26876805,,80,80,2
519,GO! Academie voor Podium-     kunsten Overijse,false,Fr. Verbeekstraat,     ,1900,,,80,80,2
520,GO! Academie voor Podium-     kunsten Overijse,false,Stationsplein,4,1900,,,80,80,2
521,GO! Academie voor Podium-     kunsten Overijse,false,Hippolyte Boulengerlaan,7,2392,,,80,80,2
522,Kunstacademie Zaventem,false,Bergstraat,15,1198,,,81,81,1
523,Kunstacademie Zaventem,false,Leuvensesteenweg,517,1258,,,81,81,1
524,Kunstacademie Zaventem,false,Beekstraat,25,1258,,,81,81,1
525,Kunstacademie Zaventem,true,Willem Lambertstraat,1,2786,27200528,27215903,81,81,1
526,Kunstacademie Zaventem,false,Rustoorddreef,1,2786,,,81,81,1
527,Stedelijk Conservatorium voor Muziek,false,Koutermanstraat,ZN   ,31,,,82,82,1
528,Stedelijk Conservatorium voor Muziek,false,Grotstraat,5,31,,,82,82,1
529,Stedelijk Conservatorium voor Muziek,true,Kunstlaan,12,967,11228575,11261495,82,82,1
530,Stedelijk Conservatorium voor Muziek,false,Kerkplein,1,2810,,,82,82,1
531,Stedelijk Conservatorium voor Muziek,false,Kneuterweg,2,2810,,,82,82,1
532,Stedelijk Conservatorium voor Muziek,false,Kleine Hemmenweg,4_A  ,2810,,,82,82,1
533,"Gemeentelijke Academie voor   Muziek en Woord ""Marcel Van   Heuven""",false,Bethaniëlei,89,366,,,83,83,1
534,"Gemeentelijke Academie voor   Muziek en Woord ""Marcel Van   Heuven""",true,Ploegsebaan,144,366,36630990,36332401,83,83,1
535,"Gemeentelijke Academie voor   Muziek en Woord ""Marcel Van   Heuven""",false,Leeuwenstraat,50,366,,,83,83,1
536,"Gemeentelijke Academie voor   Muziek en Woord ""Marcel Van   Heuven""",false,Bredabaan,1093,366,,,83,83,1
537,"Gemeentelijke Academie voor   Muziek en Woord ""Marcel Van   Heuven""",false,Donksesteenweg,150,366,,,83,83,1
538,"Gemeentelijke Academie voor   Muziek en Woord ""Marcel Van   Heuven""",false,Kapelsesteenweg,72,366,,,83,83,1
539,"Gemeentelijke Academie voor   Muziek en Woord ""Marcel Van   Heuven""",false,Antwerpsesteenweg,146,1202,,,83,83,1
540,Academie Merksem              Muziek-Woord-Dans,false,Gemeentepark,2,368,,,84,84,1
541,Academie Merksem              Muziek-Woord-Dans,true,Nieuwdreef,135,1580,36416020,36416025,84,84,1
542,Academie Merksem              Muziek-Woord-Dans,false,Kerklei,2,2250,,,84,84,1
543,Stedelijke Academie voor      Kunsten Maaseik,false,Kloosterstraat,13,370,,,85,85,1
544,Stedelijke Academie voor      Kunsten Maaseik,false,Weertersteenweg,363_1,1228,,,85,85,1
545,Stedelijke Academie voor      Kunsten Maaseik,false,Nelisveld,5_2  ,1228,,,85,85,1
546,Stedelijke Academie voor      Kunsten Maaseik,true,Boomgaardstraat,10,1464,89560860,,85,85,1
547,Stedelijke Academie voor      Kunsten Maaseik,false,Raadshof,16,1721,,,85,85,1
548,Stedelijke Academie voor      Kunsten Maaseik,false,Scholtisplein,1,1721,,,85,85,1
549,Stedelijke Academie voor      Kunsten Maaseik,false,Schoolstraat,20,1853,,,85,85,1
550,Kunstacademie voor Muziek,false,Schoolstraat,19,11,,,86,86,1
551,Kunstacademie voor Muziek,false,Kloosterstraat,5,2452,,,86,86,1
552,Kunstacademie voor Muziek,false,Herderstraat,1,2452,,,86,86,1
553,Kunstacademie voor Muziek,false,Sint-Henricusstraat,4,2452,,,86,86,1
554,Kunstacademie voor Muziek,false,Korenbloemstraat,6,2452,,,86,86,1
555,Kunstacademie voor Muziek,false,Steenveldstraat,2,2452,,,86,86,1
556,Kunstacademie voor Muziek,false,Revinzestraat,35,2452,,,86,86,1
557,Kunstacademie voor Muziek,false,Rijselstraat,110,2452,,,86,86,1
558,Kunstacademie voor Muziek,true,Bruggestraat,12,2452,,,86,86,1
559,Kunstacademie voor Muziek,false,Sint-Elooistraat,25,2787,,,86,86,1
560,Kunstacademie voor Muziek,false,Kloosterstraat,2,2787,,,86,86,1
561,Kunstacademie voor Muziek,false,Stadionlaan,48,2787,,,86,86,1
562,Kunstacademie voor Muziek,false,Ruddervoordsestraat,1,2787,,,86,86,1
563,Gemeentelijke Academie Voor   Muziek,false,Neerlandt,1,938,,,87,87,1
564,Gemeentelijke Academie Voor   Muziek,false,Peperstraat,16,938,,,87,87,1
565,Gemeentelijke Academie Voor   Muziek,false,Marktplein,Z/N  ,938,,,87,87,1
566,Gemeentelijke Academie Voor   Muziek,false,Scheldestraat,39,938,,,87,87,1
567,Gemeentelijke Academie Voor   Muziek,true,Marktplein,21,938,52478384,52484226,87,87,1
568,Gemeentelijke Academie Voor   Muziek,false,Jagerstraat,5,938,,,87,87,1
569,Gemeentelijke Academie Voor   Muziek,false,Meulenbroekstraat,28,938,,,87,87,1
570,Gemeentelijke Academie Voor   Muziek,false,Vredestraat,1,1616,,,87,87,1
571,Stedelijke Kunstacademie,false,Kerkstraat,6,87,,,88,88,1
572,Stedelijke Kunstacademie,false,Schoolstraat,     ,87,,,88,88,1
573,Stedelijke Kunstacademie,false,Schuttenbergstraat,2_5  ,87,,,88,88,1
574,Stedelijke Kunstacademie,true,Schuttersstraat,7,552,89755756,89753624,88,88,1
575,Stedelijke Kunstacademie,false,Koning Boudewijnplein,4,552,,,88,88,1
576,Stedelijke Kunstacademie,false,Schoolstraat,Z/N  ,1742,,,88,88,1
577,Stedelijke Kunstacademie,false,Haagstraat,Z/N  ,2094,,,88,88,1
578,Stedelijke Kunstacademie,false,Haagstraat,19,2094,,,88,88,1
579,Muzische Academie GO!,false,Mechelseplein,24,62,,,89,89,2
580,Muzische Academie GO!,false,Desguinlei,25,63,,,89,89,2
581,Muzische Academie GO!,false,Hertoginstraat,17,63,,,89,89,2
582,Muzische Academie GO!,true,Mechelsesteenweg,125,63,32391434,32811735,89,89,2
583,Muzische Academie GO!,false,Gloriantlaan,65,67,,,89,89,2
584,Muzische Academie GO!,false,Uitbreidingstraat,251,213,,,89,89,2
585,Muzische Academie GO!,false,Onderwijsstraat,19,1118,,,89,89,2
586,Stedelijk Conservatorium,false,Moeskroensesteenweg,69,5,,,90,90,1
587,Stedelijk Conservatorium,false,Kasteelstraat,5,119,,,90,90,1
588,Stedelijk Conservatorium,false,Processiestraat,6,203,,,90,90,1
589,Stedelijk Conservatorium,false,Hendrik Dewildestraat,4,267,,,90,90,1
590,Stedelijk Conservatorium,false,Poststraat,20,905,,,90,90,1
591,Stedelijk Conservatorium,false,Schoolstraat,2,1043,,,90,90,1
592,Stedelijk Conservatorium,true,Conservatoriumplein,3,1261,56277880,,90,90,1
593,Stedelijk Conservatorium,false,Hellestraat,6,1510,,,90,90,1
594,Academie                      Muziek en Woord,true,Nijverheidsstraat,27,1004,32882730,32882600,91,91,4
595,Academie                      Muziek en Woord,false,Emile Vanderveldelaan,23,1741,,,91,91,4
596,Academie                      Muziek en Woord,false,Provinciale Steenweg,100,2187,,,91,91,4
597,Academie voor Podiumkunsten,false,Sint-Pietersaalststraat,78,802,,,92,92,1
598,Academie voor Podiumkunsten,true,Tweebruggenstraat,59,802,92303883,92303883,92,92,1
599,Academie voor Podiumkunsten,false,Zwijnaardsesteenweg,6,1577,,,92,92,1
600,Academie voor Podiumkunsten,false,Gentstraat,212,1828,,,92,92,1
601,Academie voor Podiumkunsten,false,Achterstraat,18,2229,,,92,92,1
602,Academie voor Podiumkunsten,false,Kerkdreef,9,2236,,,92,92,1
603,Muzarto,true,Kerkstraat,3,661,36673379,36673379,93,93,1
604,Muzarto,false,Sint-Jansstraat,105,661,,,93,93,1
605,Muzarto,false,Kerkeneind,     ,1196,,,93,93,1
